classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
inception,TSC,50words,0,0.683540829,0.817582418,0.682044265,330.6348717
inception,TSC,Adiac,0,0.834957047,0.818414322,0.825992251,236.0876596
inception,TSC,ArrowHead,0,0.833364255,0.822857143,0.837116033,201.757885
inception,TSC,Beef,0,0.777777778,0.7,0.7,202.6027904
inception,TSC,BeetleFly,0,0.857142857,0.8,0.8,200.4868102
inception,TSC,BirdChicken,0,0.916666667,0.9,0.9,201.2379189
inception,TSC,Car,0,0.8875,0.883333333,0.883603239,210.0461719
inception,TSC,CBF,0,0.997785063,0.997777778,0.997777778,203.0764124
inception,TSC,ChlorineConcentration,0,0.879368398,0.8796875,0.845325859,265.5833549
inception,TSC,CinC_ECG_torso,0,0.854589916,0.84057971,0.841242788,255.2038274
inception,TSC,Coffee,0,1,1,1,202.2325325
inception,TSC,Computers,0,0.816080917,0.816,0.816,356.9221232
inception,TSC,Cricket_X,0,0.867068854,0.853846154,0.864139853,303.3799617
inception,TSC,Cricket_Y,0,0.839390578,0.830769231,0.832967136,303.9960563
inception,TSC,Cricket_Z,0,0.856116675,0.856410256,0.850924614,301.8347716
inception,TSC,DiatomSizeReduction,0,0.961009174,0.944444444,0.925290135,197.7346613
inception,TSC,DistalPhalanxOutlineAgeGroup,0,0.831169405,0.82,0.708062548,96.58634543
inception,TSC,DistalPhalanxOutlineCorrect,0,0.772849257,0.788333333,0.776240526,154.7771482
inception,TSC,DistalPhalanxTW,0,0.480326837,0.735,0.479862624,96.65062308
inception,TSC,Earthquakes,0,0.598484848,0.801242236,0.542450366,177.7930195
inception,TSC,ECG200,0,0.901654412,0.9,0.879340278,78.5982039
inception,TSC,ECG5000,0,0.705142648,0.938666667,0.580445879,253.1195722
inception,TSC,ECGFiveDays,0,1,1,1,200.7437754
inception,TSC,ElectricDevices,0,0.678464892,0.702632603,0.614297992,4113.287807
inception,TSC,FaceAll,0,0.893890964,0.785207101,0.897186385,286.5022519
inception,TSC,FaceFour,0,0.959677419,0.943181818,0.948426573,202.0020392
inception,TSC,FacesUCR,0,0.963297301,0.965365854,0.947571039,124.8630693
inception,TSC,FISH,0,0.977513228,0.977142857,0.979093361,182.8429134
inception,TSC,FordA,0,0.945506534,0.945292974,0.945068416,1338.746913
inception,TSC,FordB,0,0.931764271,0.931243124,0.93088855,828.7209845
inception,TSC,Gun_Point,0,0.993506494,0.993333333,0.993243243,203.9361379
inception,TSC,Ham,0,0.73855964,0.733333333,0.730936819,125.480145
inception,TSC,HandOutlines,0,0.888770722,0.891,0.872750654,1656.836057
